datetime,symbol,Open,High,Low,Close,Volume
2007-10-26 09:00:00,BMFBOVESPA:B3SA3,3.6136,3.98904,3.275706,3.951495,1207023087.0
2007-10-29 09:00:00,BMFBOVESPA:B3SA3,3.906443,3.906443,3.6136,3.6136,180551149.99999988
2007-10-30 09:00:00,BMFBOVESPA:B3SA3,3.6136,3.641758,3.500969,3.517864,90059576.00000013
2007-10-31 09:00:00,BMFBOVESPA:B3SA3,3.559162,3.726232,3.555408,3.669916,62454145.99999997
2007-11-01 09:00:00,BMFBOVESPA:B3SA3,3.68118,3.724355,3.570425,3.718723,55700990.99999998
2007-11-05 09:00:00,BMFBOVESPA:B3SA3,3.636127,3.716846,3.591074,3.591074,47292409.99999998
2007-11-06 09:00:00,BMFBOVESPA:B3SA3,3.68118,3.726232,3.6136,3.726232,29310051.0
2007-11-07 09:00:00,BMFBOVESPA:B3SA3,3.669916,3.891425,3.64739,3.838864,42424694.0
2007-11-08 09:00:00,BMFBOVESPA:B3SA3,3.838864,3.945864,3.711215,3.838864,47367539.99999998
2007-11-09 09:00:00,BMFBOVESPA:B3SA3,3.850127,4.268742,3.850127,4.178636,192243344.0
2007-11-12 09:00:00,BMFBOVESPA:B3SA3,4.07539,4.201162,4.052864,4.137338,43626253.99999996
2007-11-13 09:00:00,BMFBOVESPA:B3SA3,4.141092,4.184268,3.996548,4.041601,19626255.00000002
2007-11-14 09:00:00,BMFBOVESPA:B3SA3,4.148601,4.219934,4.101671,4.10918,13935770.0
2007-11-16 09:00:00,BMFBOVESPA:B3SA3,4.118566,4.15611,3.94211,3.979654,23167144.0
2007-11-19 09:00:00,BMFBOVESPA:B3SA3,3.996548,3.996548,3.729987,3.771285,23091264.0
2007-11-21 09:00:00,BMFBOVESPA:B3SA3,3.718723,3.718723,3.5066,3.611723,45498782.99999999
2007-11-22 09:00:00,BMFBOVESPA:B3SA3,3.6136,3.782548,3.596706,3.664285,9308681.00000001
2007-11-23 09:00:00,BMFBOVESPA:B3SA3,3.698074,3.714969,3.602338,3.602338,8907150.99999999
2007-11-26 09:00:00,BMFBOVESPA:B3SA3,3.636127,3.686811,3.512232,3.557285,11487125.0
2007-11-27 09:00:00,BMFBOVESPA:B3SA3,3.523495,3.534758,3.38646,3.38646,34656713.00000001
2007-11-28 09:00:00,BMFBOVESPA:B3SA3,3.478443,3.64739,3.44653,3.64739,32133661.00000001
2007-11-29 09:00:00,BMFBOVESPA:B3SA3,3.653021,3.906443,3.653021,3.904566,52235247.00000002
2007-11-30 09:00:00,BMFBOVESPA:B3SA3,4.047232,4.064127,3.726232,3.827601,47661283.99999997
2007-12-03 09:00:00,BMFBOVESPA:B3SA3,3.833232,3.833232,3.669916,3.669916,18944634.0
2007-12-04 09:00:00,BMFBOVESPA:B3SA3,3.6136,3.760022,3.591074,3.68118,18611442.0
2007-12-05 09:00:00,BMFBOVESPA:B3SA3,3.72811,3.940232,3.72811,3.89518,31801950.99999999
2007-12-06 09:00:00,BMFBOVESPA:B3SA3,3.897057,3.974022,3.883917,3.974022,28629199.00000001
2007-12-07 09:00:00,BMFBOVESPA:B3SA3,3.975899,4.024706,3.919583,4.007811,12366824.0
2007-12-10 09:00:00,BMFBOVESPA:B3SA3,3.985285,4.064127,3.979654,4.047232,9739804.99999999
2007-12-11 09:00:00,BMFBOVESPA:B3SA3,4.064127,4.118566,4.011566,4.019075,16943071.00000001
2007-12-12 09:00:00,BMFBOVESPA:B3SA3,4.004057,4.071636,3.996548,4.052864,13613915.00000001
2007-12-13 09:00:00,BMFBOVESPA:B3SA3,4.007811,4.064127,3.816338,4.058496,16846679.0
2007-12-14 09:00:00,BMFBOVESPA:B3SA3,4.019075,4.081022,3.985285,4.013443,14938459.0
2007-12-17 09:00:00,BMFBOVESPA:B3SA3,3.917706,3.987162,3.782548,3.782548,13531210.0
2007-12-18 09:00:00,BMFBOVESPA:B3SA3,3.838864,3.904566,3.726232,3.726232,18559819.0
2007-12-19 09:00:00,BMFBOVESPA:B3SA3,3.760022,3.808829,3.669916,3.75439,21030474.99999999
2007-12-20 09:00:00,BMFBOVESPA:B3SA3,3.733741,3.769408,3.701828,3.726232,12955080.0
2007-12-21 09:00:00,BMFBOVESPA:B3SA3,3.782548,3.872653,3.75439,3.872653,12726604.0
2007-12-26 09:00:00,BMFBOVESPA:B3SA3,3.883917,3.96839,3.726232,3.86139,13613190.99999999
2007-12-27 09:00:00,BMFBOVESPA:B3SA3,3.857636,3.89518,3.790057,3.810706,10344000.99999999
2007-12-28 09:00:00,BMFBOVESPA:B3SA3,3.81446,3.872653,3.724355,3.872653,11757335.99999999
2008-01-02 09:00:00,BMFBOVESPA:B3SA3,3.833232,3.996548,3.771285,3.771285,19262684.0
2008-01-03 09:00:00,BMFBOVESPA:B3SA3,3.786302,3.808829,3.709337,3.731864,8047171.0
2008-01-04 09:00:00,BMFBOVESPA:B3SA3,3.731864,3.731864,3.392091,3.425881,51933125.99999998
2008-01-07 09:00:00,BMFBOVESPA:B3SA3,3.49346,3.49346,3.183723,3.249424,63083403.00000002
2008-01-08 09:00:00,BMFBOVESPA:B3SA3,3.335776,3.44653,3.270074,3.38646,21285512.99999999
2008-01-09 09:00:00,BMFBOVESPA:B3SA3,3.301986,3.388337,3.251302,3.324512,19621704.0
2008-01-10 09:00:00,BMFBOVESPA:B3SA3,3.369565,3.380828,3.166828,3.166828,20420205.0
2008-01-11 09:00:00,BMFBOVESPA:B3SA3,3.153688,3.311372,3.133039,3.217512,38208224.00000002
2008-01-14 09:00:00,BMFBOVESPA:B3SA3,3.223144,3.273828,2.962214,3.052319,27819295.0
2008-01-15 09:00:00,BMFBOVESPA:B3SA3,3.01853,3.071091,2.73695,2.77074,60380456.99999999
2008-01-16 09:00:00,BMFBOVESPA:B3SA3,2.691898,2.860845,2.400932,2.828933,88768456.99999997
2008-01-17 09:00:00,BMFBOVESPA:B3SA3,2.840196,2.934056,2.618687,2.928424,63743747.00000004
2008-01-18 09:00:00,BMFBOVESPA:B3SA3,2.939687,3.071091,2.806407,2.815793,56231579.00000002
2008-01-21 09:00:00,BMFBOVESPA:B3SA3,2.562371,2.646845,2.468512,2.641213,31924952.00000001
2008-01-22 09:00:00,BMFBOVESPA:B3SA3,2.581143,2.77074,2.543599,2.669371,61715582.99999996
2008-01-23 09:00:00,BMFBOVESPA:B3SA3,2.588652,2.601792,2.414073,2.464757,48019550.0
2008-01-24 09:00:00,BMFBOVESPA:B3SA3,2.658108,2.939687,2.568003,2.787635,65870571.99999998
2008-01-28 09:00:00,BMFBOVESPA:B3SA3,2.714424,2.934056,2.699406,2.894635,27269780.0
2008-01-29 09:00:00,BMFBOVESPA:B3SA3,2.990372,3.108635,2.934056,2.939687,20564434.99999998
2008-01-30 09:00:00,BMFBOVESPA:B3SA3,2.93781,2.990372,2.78388,2.98474,35378574.00000003
2008-01-31 09:00:00,BMFBOVESPA:B3SA3,2.939687,2.967845,2.819547,2.905898,30494925.99999999
2008-02-01 09:00:00,BMFBOVESPA:B3SA3,2.973477,3.13867,2.905898,3.082354,33615303.00000002
2008-02-06 09:00:00,BMFBOVESPA:B3SA3,3.014775,3.014775,2.896512,2.900266,30009883.0
2008-02-07 09:00:00,BMFBOVESPA:B3SA3,2.904021,2.928424,2.72381,2.782003,34339428.0
2008-02-08 09:00:00,BMFBOVESPA:B3SA3,2.810161,2.836442,2.659985,2.659985,31370844.00000002
2008-02-11 09:00:00,BMFBOVESPA:B3SA3,2.703161,2.812038,2.693775,2.812038,26399897.99999998
2008-02-12 09:00:00,BMFBOVESPA:B3SA3,2.851459,2.917161,2.827056,2.883372,39015091.99999998
2008-02-13 09:00:00,BMFBOVESPA:B3SA3,2.905898,2.979109,2.840196,2.91153,15242067.0
2008-02-14 09:00:00,BMFBOVESPA:B3SA3,2.945319,2.962214,2.778249,2.872108,15802232.99999999
2008-02-15 09:00:00,BMFBOVESPA:B3SA3,2.810161,2.870231,2.763231,2.780126,13581288.00000001
2008-02-18 10:00:00,BMFBOVESPA:B3SA3,2.827056,2.847705,2.793266,2.802652,3075458.0
2008-02-19 10:00:00,BMFBOVESPA:B3SA3,2.827056,2.858968,2.720056,2.720056,11212331.00000001
2008-02-20 10:00:00,BMFBOVESPA:B3SA3,2.941565,3.076723,2.885249,2.996003,71759167.99999999
2008-02-21 10:00:00,BMFBOVESPA:B3SA3,3.082354,3.131161,2.896512,2.896512,21331812.99999998
2008-02-22 10:00:00,BMFBOVESPA:B3SA3,2.917161,2.950951,2.804529,2.855214,12681832.0
2008-02-25 10:00:00,BMFBOVESPA:B3SA3,2.8646,2.922793,2.821424,2.894635,10479110.0
2008-02-26 10:00:00,BMFBOVESPA:B3SA3,2.845828,2.964091,2.832687,2.917161,9647188.00000001
2008-02-27 10:00:00,BMFBOVESPA:B3SA3,2.915284,3.041056,2.905898,3.041056,15664093.0
2008-02-28 10:00:00,BMFBOVESPA:B3SA3,3.035424,3.133039,2.98474,3.133039,16320667.0
2008-02-29 10:00:00,BMFBOVESPA:B3SA3,3.074845,3.178091,2.996003,2.996003,15036363.0
2008-03-03 10:00:00,BMFBOVESPA:B3SA3,3.01853,3.174337,2.999758,3.144302,16514211.99999999
2008-03-04 10:00:00,BMFBOVESPA:B3SA3,3.144302,3.189354,2.962214,3.001635,22848362.00000001
2008-03-05 10:00:00,BMFBOVESPA:B3SA3,3.052319,3.144302,3.029793,3.121775,20288132.0
2008-03-06 10:00:00,BMFBOVESPA:B3SA3,3.093617,3.129284,2.999758,2.999758,8017560.99999999
2008-03-07 10:00:00,BMFBOVESPA:B3SA3,2.919038,3.01853,2.919038,2.92467,15862961.0
2008-03-10 10:00:00,BMFBOVESPA:B3SA3,2.973477,3.029793,2.872108,2.922793,11677621.0
2008-03-11 10:00:00,BMFBOVESPA:B3SA3,3.007266,3.095495,2.975354,3.093617,20080921.00000001
2008-03-12 10:00:00,BMFBOVESPA:B3SA3,3.110512,3.13867,2.997881,3.074845,15487227.00000001
2008-03-13 10:00:00,BMFBOVESPA:B3SA3,3.001635,3.04481,2.939687,2.973477,12300800.0
2008-03-14 10:00:00,BMFBOVESPA:B3SA3,3.035424,3.04481,2.782003,2.879617,13297398.99999999
2008-03-17 10:00:00,BMFBOVESPA:B3SA3,2.714424,2.842073,2.635582,2.669371,34983839.0
